Indian Premier League,CPL,SA20,ILT20,MLC,The Hundred
Chennai Super Kings,,Joburg Super Kings,,Texas Super Kings,
Delhi Capitals,,Pretoria Capitals,Dubai Capitals,Seattle Orcas[b],Southern Brave
Gujarat Titans,,,,,
Kolkata Knight Riders,Trinbago Knight Riders,,Abu Dhabi Knight Riders,Los Angeles Knight Riders,
Lucknow Super Giants,,Durban's Super Giants,,,Manchester Originals[b]
Mumbai Indians,,MI Cape Town,MI Emirates,MI New York,Oval Invincibles[b]
Punjab Kings,Saint Lucia Kings,,,,
Rajasthan Royals,Barbados Royals,Paarl Royals,,,
Royal Challengers Bengaluru,,,,,
Sunrisers Hyderabad,,Sunrisers Eastern Cape,,,Northern Superchargers
