Batting records,Batting records.1,Batting records.2
Most runs,Virat Kohli (RCB),8063
Highest score,Chris Gayle (RCB),175* vs Pune Warriors (23 April 2013)
Highest partnership,Virat Kohli & AB de Villiers (RCB),229 vs Gujarat Lions (14 May 2016)
Most centuries,Virat Kohli (RCB),8
Most runs in a season,Virat Kohli (RCB),973 (2016)
Bowling records,Bowling records,Bowling records
Most wickets,Yuzvendra Chahal (MI/RCB/RR),205
Best bowling figures,Alzarri Joseph (MI),6/12 vs Sunrisers Hyderabad (6 April 2019)
Most wickets in a season,Harshal Patel (RCB),32 (2021)
Most wickets in a season,Dwayne Bravo (CSK),32 (2013)
Fielding records,Fielding records,Fielding records
Most dismissals (wicket-keeper),MS Dhoni (CSK/RPS),190
Most catches (fielder),Virat Kohli (RCB),114
Team records,Team records,Team records
Highest total,Sunrisers Hyderabad,287/3 (20) vs Royal Challengers Bengaluru (15 April 2024)
Lowest total,Royal Challengers Bengaluru,49 (9.4) vs Kolkata Knight Riders (23 April 2017)
