Rank,Player,Team,Years active,Apps,Runs,Wkts
1,MS Dhoni,"CSK, RPS",2008–2024,264,5243,–
2,Dinesh Karthik,"DD, GL, KKR, KXIP, MI, RCB",2008–2024,257,4842,–
3,Rohit Sharma,"DCH, MI",2008–2024,257,6628,15
4,Virat Kohli,RCB,2008–2024,252,8004,4
5,Ravindra Jadeja,"CSK, GL, KTK, RR",2008–2024,240,2959,160
6,Shikhar Dhawan,"DC, DCH, MI, PBKS, SRH",2008–2024,222,6769,4
7,R Ashwin,"CSK, DC, KXIP, RPS, RR",2009–2024,212,800,180
8,Suresh Raina,"CSK, GL",2008–2021,205,5528,25
9,Robin Uthappa,"CSK, KKR, PWI, RCB, RR",2008–2022,205,4952,–
10,Ambati Rayudu,"CSK, MI",2010–2023,204,4348,–
