Team,Year,Year,Year,Year,Year,Year,Year,Year
Team,2024,2024,2023,2023,2022,2022,2021,2021
Team,Brand value,Ref,Brand value,Ref,Brand value,Ref,Brand value,Ref
Chennai Super Kings,$122M,$81M,[137],$74M,[138][139][140],$76M,[138],
Mumbai Indians,$119M,$87M,[137],$83M,[138][139][140],$80M,[138],
Royal Challengers Bengaluru,$117M,$70M,[137],$68M,[138][139][140],$50M,[138],
Kolkata Knight Riders,$109M,$79M,[137],$77M,[138][139][140],$66M,[138],
Sunrisers Hyderabad,$85M,$48M,[137],$49M,[138][139][140],$52M,[138],
Rajasthan Royals,$81M,$62M,[137],$61M,[138][139][140],$34M,[138],
Delhi Capitals,$80M,$64M,[137],$62M,[138][139][140],$56M,[138],
Gujarat Titans,$69M,$65M,[137],$47M,[138][139][140],,[138],
Punjab Kings,$68M,$45M,[137],$45M,[138][139][140],$36M,[138],
Lucknow Super Giants,$60M,$47M,[137],$32M,[138][139][140],,[138],
