Territory,Channels,Years
India,Star Sports 1 Star Sports 1 Hindi Star Sports 1 Kannada Star Sports 1 Tamil Star Sports 1 Telugu HD Star Gold Star Bharat Star Utsav Movies Star Jalsa Movies Star Maa Movies Star Suvarna Plus Star Vijay Super Colors Tamil Asianet Movies,2024–2027
India,JioHotstar (Internet),2024–2027
Afghanistan,ATN HD ATN News HD,2024
Afghanistan,Ariana Television (Internet),2024
Australia,Foxtel Fox Cricket Kayo Sports,2023–present[157]
Australia,Kayo Freebies (Internet),2023–present[157]
Bangladesh,T Sports HD,2024
Bangladesh,T Sports APP,2024
Indonesia,Vidio (Internet),2023[158]
New Zealand,Colors TV,2024–present
Nepal,Kantipur Max,2025
Pakistan,Tapmad APP,2024
Ireland,Sky Sports DAZN,2023–present
United Kingdom,Sky Sports DAZN,2023–present
South Africa,SuperSport,2023[157]
Sri Lanka,Star Sports 1 Star Sports 1 HD Star Sports 2 Star Sports Select HD 1 Star Sports Select HD 2,
Sri Lanka,Supreme TV,2023–present
United States},Willow TV,2023[157]
Middle East and North Africa,Times Internet,2023[157]
Sub-Saharan Africa,SuperSport,2021–present
