Year,Auction City,Player,Nationality,Team,Price INR,Ref.
2008,Mumbai,MS Dhoni,India,Chennai Super Kings,9.5 crore,[92]
2009,Goa,Kevin Pietersen,England,Royal Challengers Bangalore,9.8 crore,[93]
2009,Goa,Andrew Flintoff,England,Chennai Super Kings,9.8 crore,[93]
2010,Bangalore,Shane Bond,Australia,Kolkata Knight Riders,4.8 crore,[94]
2010,Bangalore,Kieron Pollard,West Indies,Mumbai Indians,4.8 crore,[94]
2011,Bangalore,Gautam Gambhir,India,Kolkata Knight Riders,14.9 crore,[95]
2012,Chennai,Ravindra Jadeja,India,Chennai Super Kings,12.8 crore,[96]
2013,Chennai,Glenn Maxwell,Australia,Mumbai Indians,6.3 crore,[97]
2014,Dubai,Yuvraj Singh,India,Royal Challengers Bangalore,14 crore,[98]
2015,Bangalore,Yuvraj Singh,India,Delhi Daredevils,16 crore,[99]
2016,Bangalore,Shane Watson,Australia,Royal Challengers Bangalore,9.5 crore,[100]
2017,Bangalore,Ben Stokes,England,Rising Pune Supergiant,14.5 crore,[101]
2018,Bangalore,Ben Stokes,England,Rajasthan Royals,12.5 crore,[102]
2019,Jaipur,Varun Chakravarthy,India,Kings XI Punjab,8.4 crore,[103][104]
2020,Kolkata,Pat Cummins,Australia,Kolkata Knight Riders,15.5 crore,[105]
2021,Chennai,Chris Morris,South Africa,Rajasthan Royals,16.25 crore,
2022,Bengaluru,Ishan Kishan,India,Mumbai Indians,15.25 crore,
2023,Kochi,Sam Curran,England,Punjab Kings,18.5 crore,
2024,Dubai,Mitchell Starc,Australia,Kolkata Knight Riders,24.75 crore,
2025,Jeddah,Rishabh Pant,India,Lucknow Super Giants,27 crore,
