Team,Seasons won,Seasons runner-up,No. of playoffs played,No. of seasons played
Chennai Super Kings,"5 (2010, 2011, 2018, 2021, 2023)","5 (2008, 2012, 2013, 2015, 2019)",12,15
Mumbai Indians,"5 (2013, 2015, 2017, 2019, 2020)",1 (2010),10,17
Kolkata Knight Riders,"3 (2012, 2014, 2024)",1 (2021),8,17
Sunrisers Hyderabad,1 (2016),"2 (2018, 2024)",7,12
Rajasthan Royals,1 (2008),1 (2022),6,15
Gujarat Titans,1 (2022),1 (2023),2,3
Deccan Chargers†,1 (2009),,2,5
Royal Challengers Bengaluru,,"3 (2009, 2011, 2016)",9,17
Delhi Capitals,,1 (2020),6,17
Punjab Kings,,1 (2014),2,17
Rising Pune Supergiant†,,1 (2017),1,2
Lucknow Super Giants,,,2,3
Gujarat Lions†,,,1,2
Pune Warriors India†,,,-,3
Kochi Tuskers Kerala†,,,-,1
