Season (No. of teams),2008 (8),2009 (8),2010 (8),2011 (10),2012 (9),2013 (9),2014 (8),2015 (8),2016 (8),2017 (8),2018 (8),2019 (8),2020 (8),2021 (8),2022 (10),2023 (10),2024 (10)
Chennai Super Kings,RU,SF,C,C,RU,RU,PO,RU,Suspended,Suspended,C,RU,7th,C,9th,C,5th
Delhi Capitals / Delhi Daredevils,SF,SF,5th,10th,PO,9th,8th,7th,6th,6th,8th,PO,RU,PO,5th,9th,6th
Gujarat Titans,–,–,–,–,–,–,–,–,–,–,–,–,–,–,C,RU,8th
Kolkata Knight Riders,6th,8th,6th,PO,C,7th,C,5th,PO,PO,PO,5th,5th,RU,7th,7th,C
Lucknow Super Giants,–,–,–,–,–,–,–,–,–,–,–,–,–,–,PO,PO,7th
Mumbai Indians,5th,7th,RU,PO,PO,C,PO,C,5th,C,5th,C,C,5th,10th,PO,10th
Punjab Kings / Kings XI Punjab,SF,5th,8th,5th,6th,6th,RU,8th,8th,5th,7th,6th,6th,6th,6th,8th,9th
Rajasthan Royals,C,6th,7th,6th,7th,PO,5th,PO,Suspended,Suspended,PO,7th,8th,7th,RU,5th,PO
Royal Challengers Bengaluru,7th,RU,3rd,RU,5th,5th,7th,PO,RU,8th,6th,8th,PO,PO,PO,6th,PO
Deccan Chargers / Sunrisers Hyderabad,8th,C,4th,7th,8th,PO,6th,6th,C,PO,RU,PO,PO,8th,8th,10th,RU
Kochi Tuskers Kerala†,–,–,–,8th,–,–,–,–,–,–,–,–,–,–,–,–,–
Pune Warriors / Pune Warriors India†,–,–,–,9th,9th,8th,–,–,–,–,–,–,–,–,–,–,–
Gujarat Lions†,–,–,–,–,–,–,–,–,PO,7th,–,–,–,–,–,–,–
Rising Pune Supergiant†,–,–,–,–,–,–,–,–,7th,RU,–,–,–,–,–,–,–
