Year,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th
2008,RR (C),KXIP,CSK (R),DD,MI,KKR,RCB,DCH,,
2009,DD,CSK,RCB (R),DCH (C),KXIP,RR,MI,KKR,,
2010,MI (R),DCH,CSK (C),RCB,DD,KKR,RR,KXIP,,
2011,RCB (R),CSK (C),MI,KKR,KXIP,RR,DCH,KTK,PWI,DD
2012,DD,KKR (C),MI,CSK (R),RCB,KXIP,RR,DCH,PWI,
2013,CSK (R),MI (C),RR,SRH,RCB,KXIP,KKR,PWI,DD,
2014,KXIP (R),KKR (C),CSK,MI,RR,SRH,RCB,DD,,
2015,CSK (R),MI (C),RCB,RR,KKR,SRH,DD,KXIP,,
2016,GL,RCB (R),SRH (C),KKR,MI,DD,RPS,KXIP,,
2017,MI (C),RPS (R),SRH,KKR,KXIP,DD,GL,RCB,,
2018,SRH (R),CSK (C),KKR,RR,MI,RCB,KXIP,DD,,
2019,MI (C),CSK (R),DC,SRH,KKR,KXIP,RR,RCB,,
2020,MI (C),DC (R),SRH,RCB,KKR,KXIP,CSK,RR,,
2021,DC,CSK (C),RCB,KKR (R),MI,PBKS,RR,SRH,,
2022,GT (C),RR (R),LSG,RCB,DC,PBKS,KKR,SRH,CSK,MI
2023,GT (R),CSK (C),LSG,MI,RR,RCB,KKR,PBKS,DC,SRH
2024,KKR (C),SRH (R),RR,RCB,CSK,DC,LSG,GT,PBKS,MI
2025,,,,,,,,,,
